country_name,country_code_alpha3,country_code_alpha2,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Andhra Pradesh,AP,In-AP,1901,10.58,10.65,8.67,5.65,10.1,2.65,3.35,6.14,9.38,19.25,10.96,14.36
Andhra Pradesh,AP,In-AP,1902,5.46,10.3,9.18,6.82,7.17,3.51,3.81,4.52,7.76,15.36,11.64,12.66
Andhra Pradesh,AP,In-AP,1903,8.28,3.42,7.66,5.6,4.9,4.48,2.25,2.98,6.55,7.13,8.74,16.66
Andhra Pradesh,AP,In-AP,1904,23.82,12.87,15.78,12.49,2.62,4.61,2.25,3.82,5.7,8.52,7.05,11.53
Andhra Pradesh,AP,In-AP,1905,8.67,6.0,5.48,6.84,12.88,4.31,2.9,3.51,3.98,16.45,8.96,13.39
Andhra Pradesh,AP,In-AP,1906,16.16,9.52,8.53,8.04,7.55,3.67,2.57,4.36,8.63,7.81,7.32,13.02
Andhra Pradesh,AP,In-AP,1907,8.12,13.22,6.6,8.52,4.88,2.23,1.71,4.41,10.63,9.52,12.31,5.43
Andhra Pradesh,AP,In-AP,1908,10.43,11.13,17.21,7.16,6.95,3.91,2.7,4.75,6.62,13.91,6.79,12.06
Andhra Pradesh,AP,In-AP,1909,10.73,6.16,8.68,9.84,6.73,3.98,2.11,3.26,4.26,10.44,7.66,5.42
Andhra Pradesh,AP,In-AP,1910,7.5,7.37,7.13,6.64,14.06,2.95,1.63,2.9,4.11,4.3,3.49,13.92
Andhra Pradesh,AP,In-AP,1911,17.98,7.16,14.32,6.59,9.01,3.4,2.17,2.93,4.92,10.89,8.81,8.5
Andhra Pradesh,AP,In-AP,1912,14.84,4.46,6.09,9.52,1.81,2.76,1.36,4.65,12.96,15.93,5.13,13.63
Andhra Pradesh,AP,In-AP,1913,15.92,11.62,4.49,4.5,4.38,2.01,1.37,2.78,2.42,7.41,4.28,7.29
Andhra Pradesh,AP,In-AP,1914,15.78,11.41,6.76,8.02,6.17,3.19,1.61,5.22,6.17,6.55,8.99,6.57
Andhra Pradesh,AP,In-AP,1915,13.82,7.48,7.33,8.28,6.47,5.9,2.23,3.55,7.9,13.5,7.15,8.15
Andhra Pradesh,AP,In-AP,1916,11.83,8.56,10.11,6.16,6.86,3.34,1.65,3.82,6.89,4.8,13.82,12.77
Andhra Pradesh,AP,In-AP,1917,15.33,8.65,9.54,3.11,5.46,8.5,1.43,2.68,2.62,5.42,11.56,12.53
