country_name,country_code_alpha2,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Andhra Pradesh,AP,12.85,14.83,19.49,23.75,27.59,32.06,34.26,33.2,31.17,25.38,18.99,14.31
Arunachal Pradesh,AR,23.04,22.99,22.54,22.43,21.28,18.68,18.57,20.35,22.55,22.88,22.8,22.97
Assam,AS,28.12,31.11,32.08,30.98,30.31,28.38,27.57,26.73,27.66,28.41,29.46,26.61
Bihar,BR,26.23,25.27,23.82,20.75,18.53,13.4,13.88,17.27,20.89,23.71,23.96,25.44
Chhattisgarh,CT,26.62,30.22,33.81,33.55,33.74,31.23,29.36,28.08,29.68,30.83,30.76,25.19
Goa,GA,20.38,21.38,20.25,20.4,19.24,20.01,19.52,21.38,22.39,20.4,20.16,20.07
Gujarat,GJ,22.82,22.18,20.47,21.52,22.51,23.92,25.71,25.82,26.52,25.64,24.47,23.43
Harynana,HR,25.15,27.04,27.55,26.42,26.22,25.27,24.97,24.45,24.68,25.18,25.06,23.9
Jharkhand,JH,24.76,28.12,28.39,27.21,26.56,25.49,25.54,24.5,25.14,25.13,25.73,23.76
Karnataka,KA,20.86,25.57,28.23,29.65,30.95,31.39,31.08,28.52,29.75,29.17,24.54,20.23
Kerala,KL,24.61,25.15,24.09,24.42,23.83,22.32,21.39,20.98,21.6,22.96,24.24,24.84
Himachal Pradesh,HP,24.66,25.39,24.97,24.82,24.71,24.01,23.67,24.25,24.88,24.51,24.57,24.45
Madhya Pradesh,MP,26.14,26.23,26.37,25.93,26.1,24.69,24.88,24.7,24.94,24.93,25.36,25.15
Maharastra,MH,27.06,29.26,30.18,29.19,28.19,27.25,26.09,26.06,26.71,26.88,28.44,26.1
Manipur,MN,23.17,25.46,26.03,29.26,29.13,32.14,33.2,32.41,31.0,27.65,27.15,24.69
Meghayala,ML,12.7,16.99,20.21,21.64,28.2,30.22,31.13,31.14,29.73,25.96,19.75,15.91
Mizoram,MZ,26.34,26.22,26.32,25.52,25.89,24.65,24.48,24.3,24.88,24.71,25.27,25.03
Nagaland,NL,21.29,25.46,25.5,27.22,28.41,29.4,30.0,28.56,28.81,26.86,26.01,22.84
Odisha,OR,23.96,23.74,22.73,20.05,19.21,14.83,14.99,17.65,19.01,20.71,20.26,22.19
Punjab,PB,21.37,23.9,23.96,25.68,24.24,24.02,23.6,23.1,23.57,22.48,23.19,21.86
Rajasthan,RJ,27.17,26.61,27.08,26.56,26.58,24.62,24.69,24.58,25.37,25.7,25.83,25.61
Sikkim,SK,27.58,29.27,29.05,30.52,31.36,31.16,31.1,29.01,29.75,29.48,28.67,26.16
Tamil Nadu,TN,28.5,30.66,31.14,30.17,29.44,27.8,27.18,26.79,27.41,27.76,29.17,27.12
Telangana,TG,25.19,26.93,28.74,29.5,28.61,27.33,26.8,25.91,26.37,26.25,26.55,23.84
Tirupura,TR,28.19,29.37,29.52,30.65,31.19,30.18,29.96,28.41,28.89,28.75,28.78,26.21
Uttar Pradesh,UP,26.0,26.62,26.2,27.04,24.81,24.44,24.2,24.0,25.26,25.01,25.47,25.47
Uttarakhand,UT,18.02,16.34,15.61,11.16,9.56,4.47,5.62,8.28,11.73,13.52,12.21,15.08
West Bengal,WB,25.28,26.82,27.6,27.17,26.69,25.97,25.17,24.82,25.45,25.79,26.87,24.87
